Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
會,会,会,,会,hai,huei,"kui 2 , wui 2 , wui 4 , wui 5 , wui 6 ","huì, kuài",カイ、エ,あ-う,2,,회,모일,M,"hội, hụi",,association,曰,6
海,,,,海,hai,hai,hoi 2 ,hǎi,カイ,うみ,2,,해,바다,M,"hải, hẩy, hấy",n,sea,水,9
話,话,,,話,hai,huai,"wa 2 , wa 6 ",huà,ワ,はな-す、はなし,2,,화,말할,M,thoại,act,talk,言,13
害,,,,害,hai,hai,"hoi 6 , hot 3 ",hài,ガイ,0,4,,해,해칠,M,,,harm,宀,10
械,,,,械,hai,hai,haai 6 ,xiè,カイ,0,4,,계,형틀,H,,,contraption,木,11
懷,怀,懐,,懐,hai,huai,waai 4 ,huái,カイ,ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける,S,,회,품을,H,,,pocket,心,16
諧,谐,,,諧,hai,hai,haai 4 ,xié,カイ,0,S,2010,0,0,0,,,harmony,言,16
骸,,,,骸,hai,hai,"haai 4 , hoi 4 ",hái,ガイ,0,S,2010,0,0,0,,,dead remains,骨,16
劾,,,,劾,"hai, hoku, kai","hai, hoku, kai",hat 6 ,hé,ガイ,0,S,,0,0,0,,,censure,力,8
解,,,,解,"hai, kai","hai, kai","gaai 2 , gaai 3 , haai 6 ","jiě, jiè, xiè",カイ、ゲ,と-く、と-かす、と-ける,5,,해,풀,M,,,untie,角,13
壞,坏,壊,,壊,"hai, kai","huai, kuai",waai 6 ,huài,カイ,こわ-す、こわ-れる,S,,괴,무너질,H,,,demolition,土,16
學,学,学,,学,haku,haku,hok 6 ,xué,ガク,まな-ぶ,1,,학,배울,M,"học, hục",act,study,子,8
核,,,,核,haku,haku,"hat 6 , wat 6 ","hé, hú",カク,0,S,,핵,씨,H,,,nucleus,木,10
獲,获,,,獲,haku,huaku,"waai 4 , wok 6 ",huò,カク,え-る,S,,획,얻을,H,,,seize,犬,16
穫,获,,,穫,haku,huaku,wok 6 ,huò,カク,0,S,,확,벼 벨,H,,,harvest,禾,18
鶴,鹤,,,鶴,haku,haku,hok 6 ,hè,0,つる,S,2010,학,학,H,,,crane,鳥,21
含,,,,含,hamu,hamu,ham 4 ,hán,ガン,ふく-む、ふく-める,S,,함,머금을,H,,,include,口,7
陷,,陥,,陥,hamu,hamu,"haam 6 , ham 6 ",xiàn,カン,おちい-る、おとしい-れる,S,,함,빠질,H,,,collapse,阜,10
憾,,,,憾,hamu,hamu,ham 6 ,hàn,カン,0,S,,0,0,0,,,remorse,心,16
艦,舰,,,艦,hamu,hamu,laam 6 ,jiàn,カン,0,S,,0,0,0,,,warship,舟,21
減,减,,,減,"hamu, kamu","hamu, kamu",gaam 2 ,jiǎn,ゲン,へ-る、へ-らす,5,,감,덜,M,,,decrease,水,12
濫,滥,,,濫,"hamu, lamu","hamu, lamu",laam 6 ,làn,ラン,0,S,,람,퍼질,H,,,excessive,水,18
寒,,,,寒,han,han,hon 4 ,hán,カン,さむ-い,3,,한,찰,M,,,cold,宀,12
漢,汉,,,漢,han,han,hon 3 ,hàn,カン,0,3,,한,한수,M,,n,Han Chinese,水,13
限,,,,限,han,han,haan 6 ,xiàn,ゲン,かぎ-る,5,,한,한계,M,,,limit,阜,9
恨,,,,恨,han,han,han 6 ,hèn,コン,うら-む、うら-めしい,S,,한,한할,M,,,rancor,心,9
閑,闲,,,閑,han,han,haan 4 ,xián,カン,0,S,,한,막을,M,,,leisure,門,12
韓,韩,,,韓,han,han,hon 4 ,hán,カン,0,S,2010,한,나라 이름,M,,,Han Korean,韋,18
痕,,,,痕,han,han,han 4 ,hén,コン,あと,S,2010,0,0,0,,,mark,疒,11
汗,,,,汗,"han, kan","han, kan","hon 4 , hon 6 , hong 6 ","hàn, hán",カン,あせ,S,,한,땀,H,,,sweat,水,6
行,,,,行,hanu,hanu,"haang 4 , hang 4 , hang 6 , hong 4 ","xíng, háng, hàng, héng",コウ、ギョウ、（アン）,い-く、ゆ-く、おこな-う,2,,행,다닐,M,"hàng, hạnh, hành, ngành, hãng, hăng",act,go,行,6
黃,黄,黄,,黄,hanu,huanu,wong 4 ,huáng,コウ、オウ,き、（こ）,2,,황,누를,M,"hoàng, huỳnh, vàng",desc,yellow,黃,11
向,,,,向,hanu,hianu,heung 3 ,xiàng,コウ,む-く、む-ける、む-かう、む-こう,3,,향,향할,M,,,over there,口,6
幸,,,,幸,hanu,hanu,hang 6 ,xìng,コウ,さいわ-い、さち、しあわ-せ,3,,행,다행,M,,,happiness,干,8
橫,横,横,,横,hanu,huanu,"waang 4 , waang 6 ","héng, hèng",オウ,よこ,3,,횡,가로,H,,,side,木,15
航,,,,航,hanu,hanu,hong 4 ,háng,コウ,0,4,,항,배,H,,,cruise,舟,10
皇,,,,皇,hanu,huanu,wong 4 ,huáng,コウ、オウ,0,6,,황,임금,M,,,emperor,白,9
鄉,乡,郷,鄕,郷,hanu,hianu,"heung 1 , heung 3 ",xiāng,キョウ、ゴウ,0,6,,향,시골,M,,,home town,邑,11
擴,扩,拡,,拡,hanu,huanu,"gwok 3 , kong 3 , kwok 3 , kwong 3 ",kuò,カク,0,6,,확,넓힐,H,,,broaden,手,8
香,,,,香,hanu,hianu,heung 1 ,xiāng,コウ、（キョウ）,か、かお-り、かお-る,S,,향,향기,M,,,incense,香,9
享,,,,享,hanu,hianu,heung 2 ,xiǎng,キョウ,0,S,,향,누릴,H,,,receive,亠,8
況,况,,,況,hanu,huanu,fong 3 ,kuàng,キョウ,0,S,,황,하물며,H,,,condition,水,8
荒,,,,荒,hanu,huanu,fong 1 ,huāng,コウ,あら-い、あ-れる、あ-らす,S,,황,거칠,H,,,laid waste,艸,9
項,项,,,項,hanu,hanu,hong 6 ,xiàng,コウ,0,S,,항,목,H,,,paragraph,頁,12
衡,,,,衡,hanu,hanu,"hang 4 , waang 4 ",héng,コウ,0,S,,형,저울대,H,,,equilibrium,行,16
響,响,,,響,hanu,hianu,heung 2 ,xiǎng,キョウ,ひび-く,S,,향,울림,H,,,echo,音,20
桁,,,,桁,hanu,hanu,"haang 4 , hang 4 , hong 4 , hong 6 ",héng,0,けた,S,2010,0,0,0,,,beam,木,10
慌,,,,慌,hanu,huanu,fong 1 ,huāng,コウ,あわ-てる、あわ-ただしい,S,,0,0,0,,,disconcerted,心,12
