Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
帽,,,,帽,mau,mau,mou 6 ,mào,ボウ,0,S,,0,0,0,,,cap,巾,12
貓,猫,猫,,猫,"mau, mio","mau, myau",maau 1 ,"māo, máo",ビョウ,ねこ,S,1981,0,0,0,,,cat,犬,11
描,,,,描,"mau, mio","mau, myau",miu 4 ,miáo,ビョウ,えが-く、か-く,S,,0,0,0,,,sketch,手,11
冒,,,,冒,"mau, moku","mau, moku","mak 6 , mou 6 ","mào, mò",ボウ,おか-す,S,,모,무릅쓸,H,,,risk,冂,9
米,,,,米,mei,mei,mai 5 ,mǐ,ベイ、マイ,こめ,2,,미,쌀,M,"mè, mễ",n,rice,米,6
每,,毎,,毎,mei,muei,mui 5 ,měi,マイ,0,2,,매,매양,M,"mỗi, mọi, mủi",adv,every,毋,6
妹,,,,妹,mei,muei,mui 6 ,mèi,マイ,いもうと,2,,매,누이,M,muội,n,younger sister,女,8
梅,,,,梅,mei,muei,mui 4 ,méi,バイ,うめ,4,,매,매화나무,H,,,ume (Japanese apricot),木,10
迷,,,,迷,mei,mei,mai 4 ,mí,メイ,まよ-う,5,,미,미혹할,H,,,astray,辵,9
枚,,,,枚,mei,muei,mui 4 ,méi,マイ,0,6,,0,0,0,,,sheet of...,木,8
媒,,,,媒,mei,muei,mui 4 ,méi,バイ,0,S,,매,중매,H,,,mediator,女,12
謎,谜,,,謎,mei,mei,"mai 4 , mai 6 ",mí,0,なぞ,S,2010,0,0,0,,,riddle,言,17
眠,,,,眠,men,men,min 4 ,mián,ミン,ねむ-る、ねむ-い,S,,면,잠잘,M,,,sleep,目,10
麵,面,麺,,麺,men,men,min 6 ,miàn,メン,0,S,2010,0,0,0,,,noodles,麥,16
名,,,,名,menu,mienu,"meng 4 , ming 4 ",míng,メイ、ミョウ,な,1,,명,이름,M,"danh, ranh",n,name,口,6
明,,,,明,menu,mienu,ming 4 ,míng,メイ、ミョウ,あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,2,,명,밝을,M,"mừng, minh, mênh, miêng",desc,bright,日,8
鳴,鸣,,,鳴,menu,mienu,ming 4 ,míng,メイ,な-く、な-る、な-らす,2,,명,울,M,minh,,chirp,鳥,14
命,,,,命,menu,mienu,"meng 6 , ming 6 ",mìng,メイ、ミョウ,いのち,3,,명,목숨,M,,,fate,口,8
皿,,,,皿,menu,mienu,ming 5 ,mǐn,0,さら,3,1981,명,그릇,0,,,dish,皿,5
冥,,,,冥,menu,menu,"ming 4 , ming 5 ",míng,メイ、ミョウ,0,S,2010,명,어두울,H,,,dark,冖,10
銘,铭,,,銘,menu,menu,"ming 4 , ming 5 ",míng,メイ,0,S,,명,새길,H,,,inscription,金,14
滅,灭,,,滅,metu,mietu,mit 6 ,miè,メツ,ほろ-びる、ほろ-ぼす,S,,멸,멸망할,H,,,destroy,水,13
蔑,,,,蔑,metu,metu,mit 6 ,miè,ベツ,さげす-む,S,2010,0,0,0,,,ignore,艸,14
味,,,,味,mi,mui,mei 6 ,wèi,ミ,あじ、あじ-わう,3,,미,맛,M,,,flavor,口,8
美,,,,美,mi,mi,mei 5 ,měi,ビ,うつく-しい,3,,미,아름다울,M,,,beauty,羊,9
未,,,,未,mi,mui,mei 6 ,wèi,ミ,0,4,,미,아닐,M,,,not yet,木,5
尾,,,,尾,mi,mui,mei 5 ,"wěi, yǐ",ビ,お,S,,미,꼬리,M,,,tail,尸,7
眉,,,,眉,mi,mi,mei 4 ,méi,ビ、（ミ）,まゆ,S,2010,미,눈썹,H,,,eyebrow,目,9
微,,,,微,mi,mui,mei 4 ,wēi,ビ,0,S,,미,작을,H,,,delicate,彳,13
彌,弥,弥,,弥,mi,mi,"mei 4 , nei 4 ",mí,0,や,S,2010,0,0,0,,,all the more,弓,8
魅,,,,魅,mi,mi,"mei 6 , mui 6 ",mèi,ミ,0,S,,0,0,0,,,fascination,鬼,15
面,,,,面,mien,mien,min 6 ,miàn,メン,おも、おもて、つら,3,,면,낯,M,,,face,面,9
勉,,,,勉,mien,mien,min 5 ,miǎn,ベン,0,3,,면,힘쓸,M,,,exertion,力,10
綿,绵,,,綿,mien,mien,min 4 ,mián,メン,わた,5,,면,이어질,H,,,cotton,糸,14
免,,,,免,mien,mien,"man 6 , min 5 ",miǎn,メン,まぬか-れる,S,,면,면할,M,,,excuse,儿,8
民,,,,民,min,min,man 4 ,mín,ミン,たみ,4,,민,백성,M,,,people,氏,5
敏,,,,敏,min,min,man 5 ,mǐn,ビン,0,S,,민,재빠를,H,,,cleverness,攴,10
秒,,,,秒,mio,myau,miu 5 ,miǎo,ビョウ,0,3,,초,초,H,,,second (part of time),禾,9
妙,,,,妙,mio,myau,miu 6 ,miào,ミョウ,0,S,,묘,묘할,M,,,exquisite,女,7
苗,,,,苗,mio,myau,miu 4 ,miáo,ビョウ,なえ、（なわ）,S,,묘,모,H,,,seedling,艸,8
密,,,,密,mitu,mitu,mat 6 ,mì,ミツ,0,6,,밀,빽빽할,M,,,secrecy,宀,11
蜜,,,,蜜,mitu,mitu,mat 6 ,mì,ミツ,0,S,2010,밀,꿀,H,,,honey,虫,14
無,无,,,無,miu,miu,mou 4 ,"wú, mó",ム、ブ,な-い,4,,무,없을,M,,,nothing,火,12
武,,,,武,miu,miu,mou 5 ,wǔ,ブ、ム,0,5,,무,굳셀,M,,n,military,止,8
務,务,,,務,miu,miu,mou 6 ,wù,ム,つと-める、つと-まる,5,,무,일,M,,,duty,力,11
舞,,,,舞,miu,miu,mou 5 ,wǔ,ブ,ま-う、まい,S,,무,춤출,M,,,dance,舛,15
侮,,,,侮,miu,miu,mou 5 ,wǔ,ブ,あなど-る,S,,모,업신여길,H,,,scorn,人,8
謀,谋,,,謀,miu,miu,mau 4 ,móu,ボウ、（ム）,はか-る,S,,모,꾀할,H,,,conspire,言,16
霧,雾,,,霧,miu,miu,mou 6 ,wù,ム,きり,S,,무,안개,H,,,fog,雨,19
矛,,,,矛,miu,miu,maau 4 ,máo,ム,ほこ,S,,0,0,0,,,halberd,矛,5
木,,,,木,moku,moku,muk 6 ,mù,ボク、モク,き、（こ）,1,,목,나무,M,"mộc, móc, mọc, mốc, mục",n,tree,木,4
墨,,,,墨,moku,moku,mak 6 ,mò,ボク,すみ,S,,묵,먹,M,,,black ink,土,14
默,,黙,,黙,moku,moku,mak 6 ,mò,モク,だま-る,S,,묵,묵묵할,H,,,silence,黑,15
沒,没,没,,没,motu,motu,mut 6 ,"méi, mò",ボツ,0,S,,몰,가라앉을,H,,,drown,水,7
母,,,,母,mou,mou,mou 5 ,mǔ,ボ,はは,2,,모,어미,M,"mẫu, mẹ",,mother,毋,5
貿,贸,,,貿,mou,mou,mau 6 ,mào,ボウ,0,5,,무,바꿀,H,,,trade,貝,12
茂,,,,茂,mou,mou,mau 6 ,mào,モ,しげ-る,S,,무,우거질,M,,,overgrown,艸,8
某,,,,某,mou,mou,mau 5 ,mǒu,ボウ,0,S,,모,아무개,H,,,so-and-so,木,9
畝,亩,,,畝,mou,mou,mau 5 ,mǔ,0,うね,S,,0,0,0,,,furrow,田,10
磨,,,,磨,mua,mua,"mo 4 , mo 6 ","mó, mò",マ,みが-く,S,1981,마,갈,H,,,grind,石,16
摩,,,,摩,mua,mua,mo 1 ,"mó, mā",マ,0,S,,0,0,0,,,chafe,手,15
魔,,,,魔,mua,mua,mo 1 ,mó,マ,0,S,,0,0,0,,,witch,鬼,21
滿,满,満,,満,muan,muan,mun 5 ,mǎn,マン,み-ちる、み-たす,4,,만,찰,M,,,full,水,12
漫,,,,漫,muan,muan,maan 6 ,màn,マン,0,S,,만,질펀할,H,,,cartoon,水,14
萬,万,万,,万,muen,muen,maan 6 ,"wàn, mò",マン、バン,0,2,,만,일만,M,"vạn, vàn, mại, muôn",,ten thousand,艸,3
晚,,晩,晩,晩,muen,muen,maan 5 ,wǎn,バン,0,6,,만,늦을,M,,,nightfall,日,12
目,,,,目,muku,miuku,muk 6 ,mù,モク、（ボク）,め、（ま）,1,,목,눈,M,"mục, mụt",,eye,目,5
牧,,,,牧,muku,miuku,muk 6 ,mù,ボク,まき,4,,목,칠,H,,,breed,牛,8
睦,,,,睦,muku,miuku,muk 6 ,mù,ボク,0,S,2010,목,화목할,H,,,harmonious,目,13
文,,,,文,mun,mian,"man 4 , man 6 ",wén,ブン、モン,ふみ,1,,문,글월,M,"văn, von",,writing,文,4
門,门,,,門,mun,muan,mun 4 ,mén,モン,かど,2,,문,문,M,"môn, món, mon",,gates,門,8
聞,闻,,,聞,mun,mian,"man 4 , man 6 ","wén, wèn",ブン、モン,き-く、き-こえる,2,,문,들을,M,văn,,hear,耳,14
問,问,,,問,mun,mian,man 6 ,wèn,モン,と-う、と-い、（とん）,3,,문,물을,M,,,question,口,11
蚊,,,,蚊,mun,mian,"man 1 , man 4 ",wén,0,か,S,,0,0,0,,,mosquito,虫,10
紋,纹,,,紋,mun,mian,man 4 ,"wén, wèn",モン,0,S,,0,0,0,,,family crest,糸,10
夢,梦,,,夢,munu,miunu,mung 6 ,mèng,ム,ゆめ,5,,몽,꿈,H,,,dream,夕,13
墓,,,,墓,muo,mo,mou 6 ,mù,ボ,はか,5,,묘,무덤,H,,,grave,土,13
暮,,,,暮,muo,mo,mou 6 ,mù,ボ,く-れる、く-らす,6,,모,저물,M,,,livelihood,日,14
模,,,,模,muo,mo,mou 4 ,"mó, mú",モ、ボ,0,6,,모,법,H,,,imitation,木,14
募,,,,募,muo,mo,mou 6 ,mù,ボ,つの-る,S,,모,모을,H,,,recruit,力,12
慕,,,,慕,muo,mo,mou 6 ,mù,ボ,した-う,S,,모,그리워할,H,,,pining,心,14
物,,,,物,mutu,mutu,mat 6 ,wù,ブツ、モツ,もの,3,,물,만물,M,,,thing,牛,8
那,,,,那,na,na,"a 6 , na 5 , na 6 , no 1 , no 4 , no 5 ","nèi, nà, nè, nǎ, něi, nā, nǎi",ナ,0,S,2010,나,어찌,H,,,what,邑,7
奈,,,,奈,"na, nai","na, nai",noi 6 ,nài,ナ,0,S,2010,내,어찌,H,,,what,大,8
耐,,,,耐,nai,nai,noi 6 ,nài,タイ,た-える,S,,내,견딜,H,,,resistant,而,9
能,,,,能,"nai, nonu","nai, nonu",nang 4 ,néng,ノウ,0,5,,능,능할,M,,,ability,肉,10
諾,诺,,,諾,naku,naku,nok 6 ,nuò,ダク,0,S,,낙,대답할,H,,,consent,言,15
男,,,,男,namu,namu,naam 4 ,nán,ダン、ナン,おとこ,1,,남,사내,M,nam,,male,田,7
南,,,,南,namu,namu,naam 4 ,"nán, nā",ナン、（ナ）,みなみ,2,,남,남녘,M,nam,,south,十,9
難,难,,,難,nan,nan,"naan 4 , naan 6 ","nán, nàn",ナン,かた-い、むずか-しい,6,,난,어려울,M,,,difficult,隹,18
納,纳,,,納,napu,napu,naap 6 ,nà,ノウ、（ナッ）、（ナ）、（ナン）、（トウ）,おさ-める、おさ-まる,6,,납,바칠,H,,,settlement,糸,10
腦,脑,脳,,脳,nau,nau,nou 5 ,nǎo,ノウ,0,6,,뇌,뇌,H,,,brain,肉,11
惱,恼,悩,,悩,nau,nau,nou 5 ,nǎo,ノウ,なや-む、なや-ます,S,,뇌,괴로워할,H,,,trouble,心,10
內,内,内,,内,nei,nuei,"naap 6 , noi 6 ",nèi,ナイ、（ダイ）,うち,2,,내,안,M,"nội, nói, nỗi, nòi, nụi, nồi",,inside,入,4
泥,,,,泥,nei,nei,"nai 4 , nei 6 ","ní, nì",デイ,どろ,S,1981,니,진흙,H,,,mud,水,8
溺,,,,溺,"neku, nyaku","neku, nyaku","nik 1 , nik 6 , niu 6 ","nì, niào",デキ,おぼ-れる,S,2010,0,0,0,,,drown,水,13
念,,,,念,nemu,nemu,nim 6 ,niàn,ネン,0,4,,념,생각할,M,,,thought,心,8
染,,,,染,nemu,niemu,yim 5 ,rǎn,セン,そ-める、そ-まる、し-みる、し-み,6,,염,물들일,H,,,dye,木,9
粘,,,,粘,nemu,nemu,"nim 1 , nim 4 , jim 1 ","zhān, nián",ネン,ねば-る,S,,0,0,0,,,sticky,米,11
年,,,,年,nen,nen,nin 4 ,nián,ネン,とし,1,,년,해,M,"nên, năm, niên",,year,干,6
寧,宁,,,寧,nenu,nenu,ning 4 ,"níng, nìng",ネイ,0,S,,녕,편안할,H,,,rather,宀,14
捻,,,,捻,nepu,nepu,"nim 2 , nip 6 ",niǎn,ネン,0,S,2010,0,0,0,,,twist,手,11
攝,摄,摂,,摂,"nepu, sepu","nepu, siepu","nip 6 , sip 3 ",shè,セツ,0,S,,섭,당길,H,,,vicarious,手,13
熱,热,,,熱,netu,nietu,yit 6 ,rè,ネツ,あつ-い,4,,열,더울,M,,,heat,火,15
尿,,,,尿,neu,nyau,"niu 6 , seui 1 ","niào, suī",ニョウ,0,S,,0,0,0,,,urine,尸,7
二,,,,二,ni,ni,yi 6 ,èr,ニ,ふた、ふた-つ,1,,이,두,M,"nhì, nhị",,two,二,2
耳,,,,耳,ni,ni,yi 5 ,ěr,ジ,みみ,1,,이,귀,M,"nhĩ, nhải, nhãi",,ear,耳,6
尼,,,,尼,ni,ni,nei 4 ,ní,ニ,あま,S,,0,0,0,,,nun,尸,5
貳,贰,弐,,弐,ni,ni,yi 6 ,èr,ニ,0,S,,0,0,0,,,two (falsification prevention),貝,6
餌,饵,,,餌,ni,ni,nei 6 ,ěr,ジ,えさ、え,S,2010,0,0,0,,,bait,食,15
然,,,,然,nien,nien,yin 4 ,rán,ゼン、ネン,0,4,,연,그러할,M,,,so,火,12
燃,,,,燃,nien,nien,"yin 4 , yin 6 ",rán,ネン,も-える、も-やす、も-す,5,,연,탈,H,,,burn,火,16
匿,,,,匿,niku,niku,nik 1 ,nì,トク,0,S,,0,0,0,,,hide,匸,10
任,,,,任,nimu,nimu,"yam 4 , yam 6 ","rèn, rén",ニン,まか-せる、まか-す,5,,임,맡길,H,,,responsibility,人,6
賃,赁,,,賃,nimu,nimu,yam 6 ,lìn,チン,0,6,,임,품팔이,H,,,fare,貝,13
妊,,,,妊,nimu,nimu,yam 4 ,rèn,ニン,0,S,,0,0,0,,,pregnancy,女,7
人,,,,人,nin,nin,yan 4 ,rén,ジン、ニン,ひと,1,,인,사람,M,"nhân, nhơn",,person,人,2
仁,,,,仁,nin,nin,yan 4 ,rén,ジン、（ニ）,0,6,,인,어질,M,,,humanity,人,4
忍,,,,忍,nin,nin,yan 2 ,rěn,ニン,しの-ぶ、しの-ばせる,S,,인,참을,M,,,endure,心,7
刃,,,,刃,nin,nin,yan 6 ,rèn,ジン,は,S,,0,0,0,,,blade,刀,3
認,认,,,認,"nin, ninu","nin, ninu","yan 6 , ying 6 ",rèn,ニン,みと-める,6,,인,알,M,,,recognize,言,14
入,,,,入,nipu,nipu,yap 6 ,rù,ニュウ,い-る、い-れる、はい-る,1,,입,들,M,"nhập, nhạp, nhép, nhẹp",,enter,入,2
日,,,,日,nitu,nitu,yat 6 ,rì,ニチ、ジツ,ひ、か,1,,일,날,M,"nhật, nhặt, nhạt, nhựt",,day,日,4
乳,,,,乳,niu,niu,yu 5 ,rǔ,ニュウ,ちち、ち,6,,유,젖,H,,,milk,乙,8
柔,,,,柔,niu,niu,yau 4 ,róu,ジュウ、ニュウ,やわ-らか、やわ-らかい,S,,유,부드러울,M,,,tender,木,9
儒,,,,儒,niu,niu,yu 4 ,rú,ジュ,0,S,,유,선비,H,,,Confucian,人,16
潤,润,,,潤,niun,nian,yeun 6 ,rùn,ジュン,うるお-う、うるお-す、うる-む,S,,윤,젖을,H,,,wet,水,15
女,,,,女,no,nio,"yu 5 , neui 5 , neui 6 ",nǚ,ジョ、ニョ、（ニョウ）,おんな、め,1,,녀,계집,M,"nữa, lỡ, nhỡ, nớ, nợ, nỡ, nữ, nự",,woman,女,3
如,,,,如,no,nio,yu 4 ,rú,ジョ、ニョ,0,S,,여,같을,M,,,likeness,女,6
辱,,,,辱,noku,nioku,yuk 6 ,rǔ,ジョク,はずかし-める,S,,욕,욕보일,H,,,embarrass,辰,10
農,农,,,農,nonu,nonu,nung 4 ,nóng,ノウ,0,3,,농,농사,M,,,farming,辰,13
冗,,,,冗,nonu,nionu,yung 2 ,rǒng,ジョウ,0,S,,0,0,0,,,superfluous,冖,4
濃,浓,,,濃,nonu,nionu,"yung 4 , nung 4 ",nóng,ノウ,こ-い,S,,0,0,0,,,concentrated,水,16
暖,,,,暖,nuan,nuan,nyun 5 ,"nuǎn, xuān",ダン,あたた-か、あたた-かい、あたた-まる、あたた-める,6,,난,따뜻할,M,,,warmth,日,13
軟,软,,,軟,nuen,nuen,yun 5 ,ruǎn,ナン,やわ-らか、やわ-らかい,S,,연,연할,H,,,soft,車,11
肉,,,,肉,nuku,niuku,yuk 6 ,ròu,ニク,0,2,,육,고기,M,nhục,,meat,肉,6
努,,,,努,nuo,no,nou 5 ,nǔ,ド,つと-める,4,,노,힘쓸,H,,,toil,力,7
怒,,,,怒,nuo,no,nou 6 ,nù,ド,いか-る、おこ-る,S,,노,성낼,M,,,angry,心,9
奴,,,,奴,nuo,no,nou 4 ,nú,ド,0,S,,노,종,H,,,guy,女,5
若,,,,若,nyaku,"nya, nyaku","ye 5 , yeuk 6 ","ruò, rě",ジャク、（ニャク）,わか-い、も-しくは,6,,약,같을,M,,,young,艸,8
弱,,,,弱,nyaku,nyaku,yeuk 6 ,ruò,ジャク,よわ-い、よわ-る、よわ-まる、よわ-める,2,,약,약할,M,"nhược, ních",,weak,弓,10
讓,让,譲,,譲,nyanu,nyanu,yeung 6 ,ràng,ジョウ,ゆず-る,S,,양,사양할,M,,,defer,言,20
娘,,,,娘,nyanu,nyanu,neung 4 ,niáng,0,むすめ,S,,낭,아가씨,H,,,daughter,女,10
壤,,壌,,壌,nyanu,nyanu,yeung 6 ,rǎng,ジョウ,0,S,1981,양,흙,H,,,lot,土,16
孃,,嬢,,嬢,nyanu,nyanu,neung 4 ,niáng,ジョウ,0,S,,0,0,0,,,lass,女,16
釀,酿,醸,,醸,nyanu,nyanu,yeung 6 ,"niáng, niàng",ジョウ,かも-す,S,,0,0,0,,,brew,酉,20
魚,鱼,,,魚,o,yo,yu 4 ,yú,ギョ,うお、さかな,2,,어,물고기,M,"ngư, ngơ, ngớ, ngừ",,fish,魚,11
語,语,,,語,o,yo,"yu 5 , yu 6 ","yǔ, yù",ゴ,かた-る、かた-らう,2,,어,말씀,M,"ngữ, ngợ, ngỡ, ngửa, ngứa",,language,言,14
預,预,予,,予,o,yo,yu 6 ,yù,ヨ,0,3,,여,나,H,,,in advance,豕,4
漁,渔,,,漁,o,yo,yu 4 ,yú,ギョ、リョウ,0,4,,어,고기 잡을,M,,,fishing,水,14
餘,余,余,,余,o,yo,yu 4 ,yú,ヨ,あま-る、あま-す,5,,여,남을,M,,,leave over,食,7
預,预,,,預,o,yo,yu 6 ,yù,ヨ,あず-ける、あず-かる,5,,0,0,0,,,deposit,頁,13
與,与,与,,与,o,yo,"yu 4 , yu 5 , yu 6 ","yǔ, yú, yù",ヨ,あた-える,S,,여,줄,M,,,give,臼,3
御,,,,御,o,yo,"yu 6 , nga 6 ",yù,ギョ、ゴ,おん,S,,어,어거할,H,,,honorable,彳,12
譽,誉,誉,,誉,o,yo,yu 6 ,yù,ヨ,ほま-れ,S,,예,기릴,H,,,reputation,言,13
屋,,,,屋,oku,oku,"nguk 1 , uk 1 ",wū,オク,や,3,,옥,집,M,,,roof,尸,9
沃,,,,沃,oku,oku,yuk 1 ,wò,ヨク,0,S,2010,0,0,0,,,fertility,水,7
翁,,,,翁,onu,onu,yung 1 ,wēng,オウ,0,S,,옹,늙은이,H,,,venerable old man,羽,10
偶,,,,偶,ou,ou,ngau 5 ,ǒu,グウ,0,S,,우,짝,H,,,accidentally,人,11
歐,欧,欧,,欧,ou,ou,"au 1 , au 2 , ngau 1 ",ōu,オウ,0,S,,0,0,0,,,Europe,欠,8
毆,殴,殴,,殴,ou,ou,au 2 ,ōu,オウ,なぐ-る,S,,0,0,0,,,assault,殳,8
把,,,,把,pa,pa,ba 2 ,"bǎ, bà",ハ,0,S,1981,파,잡을,H,,,grasp,手,7
霸,,覇,,覇,pa,pa,ba 3 ,bà,ハ,0,S,1981,0,0,0,,,hegemony,襾,19
貝,贝,,,貝,pai,pai,bui 3 ,bèi,0,かい,1,,패,조개,M,"buổi, bói, bối, búi, với, mấy, mới, vuối",,shellfish,貝,7
倍,,,,倍,pai,pai,pui 5 ,bèi,バイ,0,3,,배,곱,H,,,double,人,10
敗,败,,,敗,pai,pai,baai 6 ,bài,ハイ,やぶ-れる,4,,패,패할,M,,,failure,攴,11
拜,,拝,,拝,pai,pai,"baai 1 , baai 3 ",bài,ハイ,おが-む,6,,배,절,M,,,worship,手,8
派,,,,派,pai,pai,"paai 1 , paai 3 ","pài, pā",ハ,0,6,,파,물 갈래,H,,,sect,水,9
俳,,,,俳,pai,pai,paai 4 ,pái,ハイ,0,6,,0,0,0,,,haiku,人,10
排,,,,排,pai,pai,paai 4 ,"pái, pǎi",ハイ,0,S,,배,밀칠,H,,,repudiate,手,11
唄,呗,,,唄,pai,pai,baai 6 ,"bài, bei",0,（うた）,S,2010,0,0,0,,,songs with samisen,口,10
罷,罢,,,罷,"pai, pi","pai, pi","ba 6 , pei 4 ","bà, ba, pí",ヒ,0,S,,파,방면할,H,,,quit,网,15
白,,,,白,paku,paku,baak 6 ,bái,ハク、ビャク,しろ、（しら）、しろ-い,1,,백,흰,M,"bạch, bạc",,white,白,5
百,,,,百,paku,paku,baak 3 ,bǎi,ヒャク,0,1,,백,일백,M,"bách, bá",,hundred,白,6
博,,,,博,paku,puaku,bok 3 ,bó,ハク、（バク）,0,4,,박,넓을,H,,,Dr.,十,12
朴,,,,朴,paku,paku,"piu 4 , pok 3 ","pò, pǔ, pō, piáo",ボク,0,S,1981,박,순박할,M,,,crude,木,6
伯,,,,伯,paku,paku,"ba 3 , baak 3 ","bó, bǎi",ハク,0,S,,백,맏,H,,,chief,人,7
拍,,,,拍,paku,paku,paak 3 ,pāi,ハク、（ヒョウ）,0,S,,박,칠,H,,,clap,手,8
迫,,,,迫,paku,paku,"baak 1 , baak 3 , bik 1 ","pò, pǎi",ハク,せま-る,S,,박,닥칠,H,,,urge,辵,8
泊,,,,泊,paku,puaku,"bok 6 , paak 3 ","bó, pō",ハク,と-まる、と-める,S,,박,머무를,H,,,overnight,水,8
薄,,,,薄,paku,puaku,bok 6 ,"bó, bò, báo",ハク,うす-い、うす-める、うす-まる、うす-らぐ、うす-れる,S,,박,엷을,H,,,dilute,艸,16
剝,剥,,,剝,paku,paku,"bok 1 , mok 1 ","bō, bāo",ハク,は-がす、は-ぐ、は-がれる、は-げる,S,2010,0,0,0,,,peel,刀,10
舶,,,,舶,paku,paku,"baak 3 , bok 6 , paak 3 ",bó,ハク,0,S,,0,0,0,,,liner,舟,11
爆,,,,爆,"paku, pau","paku, pau, puaku",baau 3 ,bào,バク,0,S,,폭,터질,H,,,explode,火,19
縛,缚,,,縛,"paku, pua","pua, puaku","bok 3 , fok 3 ",fù,バク,しば-る,S,,0,0,0,,,truss,糸,16
簿,,,,簿,"paku, puo","po, puaku",bou 6 ,bù,ボ,0,S,,부,장부,H,,,register,竹,19
犯,,,,犯,pamu,pamu,faan 6 ,fàn,ハン,おか-す,5,,범,범할,H,,,crime,犬,5
凡,,,,凡,pamu,pamu,faan 4 ,fán,ボン、（ハン）,0,S,,범,무릇,M,,,mediocre,几,3
範,范,,,範,pamu,pamu,faan 6 ,fàn,ハン,0,S,,범,법,H,,,pattern,竹,15
氾,,,,氾,pamu,pamu,faan 3 ,"fàn, fán",ハン,0,S,2010,0,0,0,,,spread out,水,5
帆,,,,帆,pamu,pamu,faan 4 ,fān,ハン,ほ,S,,0,0,0,,,sail,巾,6
汎,,,,汎,"pamu, punu","pamu, piunu","faan 3 , faan 4 , faan 6 ",fàn,ハン,0,S,2010,0,0,0,,,pan-,水,6
板,,,,板,pan,pan,baan 2 ,bǎn,ハン、バン,いた,3,,판,널빤지,H,,,board,木,8
版,,,,版,pan,pan,baan 2 ,bǎn,ハン,0,5,,판,판목,H,,,printing block,片,8
瓣,,弁,,弁,pan,pan,"baan 6 , faan 6 ",bàn,ベン,0,5,,0,0,0,,,valve,瓜,14
班,,,,班,pan,pan,baan 1 ,bān,ハン,0,6,,반,나눌,H,,,squad,玉,10
斑,,,,斑,pan,pan,baan 1 ,bān,ハン,0,S,2010,0,0,0,,,blemish,文,12
辨,,弁,,弁,"pan, pien","pan, pien",bin 6 ,biàn,ベン,0,5,,변,분별할,H,,,differentiate,辛,9
般,,,,般,"pan, puan","pan, puan","bo 1 , bun 1 ","bān, pán, bō",ハン,0,S,,반,돌,H,,,generally,舟,10
阪,坂,,,阪,"pan, puen","pan, puen","baan 2 , faan 2 ",bǎn,ハン,0,S,2010,0,0,0,,,heights,阜,7
頒,颁,,,頒,"pan, pun","pan, pian","baan 1 , paan 1 ","fén, bān",ハン,0,S,,0,0,0,,,partition,頁,13
方,,,,方,panu,puanu,fong 1 ,fāng,ホウ,かた,2,,방,모,M,"phương, vuông",,direction,方,4
放,,,,放,panu,puanu,fong 3 ,fàng,ホウ,はな-す、はな-つ、はな-れる、ほう-る,3,,방,놓을,M,,,release,攴,8
防,,,,防,panu,puanu,fong 4 ,fáng,ボウ,ふせ-ぐ,5,,방,막을,M,,,prevent,阜,7
訪,访,,,訪,panu,puanu,fong 2 ,fǎng,ホウ,おとず-れる、たず-ねる,6,,방,찾을,M,,,visit,言,11
棒,,,,棒,panu,panu,paang 5 ,bàng,ボウ,0,6,,0,0,0,,,rod,木,12
房,,,,房,panu,"panu, puanu","fong 2 , fong 4 ",fáng,ボウ,ふさ,S,,방,방,M,,,tassel,戶,8
邦,,,,邦,panu,panu,bong 1 ,bāng,ホウ,0,S,,방,나라,H,,,home country,邑,7
芳,,,,芳,panu,puanu,fong 1 ,fāng,ホウ,かんば-しい,S,,방,꽃다울,H,,,perfume,艸,7
妨,,,,妨,panu,puanu,fong 4 ,"fáng, fāng",ボウ,さまた-げる,S,,방,방해할,H,,,disturb,女,7
仿,,倣,倣,倣,panu,puanu,fong 2 ,fǎng,ホウ,なら-う,S,,방,본뜰,H,,,emulate,人,10
傍,,,,傍,panu,panu,"bong 6 , pong 4 , pong 6 ",bàng,ボウ,かたわ-ら,S,,방,곁,H,,,bystander,人,12
坊,,,,坊,panu,puanu,"fong 1 , fong 4 ","fāng, fáng",ボウ、（ボッ）,0,S,,0,0,0,,,boy,土,7
肪,,,,肪,panu,puanu,fong 1 ,fáng,ボウ,0,S,,0,0,0,,,obese,肉,8
紡,纺,,,紡,panu,puanu,fong 2 ,"fǎng, bǎng, fàng",ボウ,つむ-ぐ,S,,0,0,0,,,spinning,糸,10
膨,,,,膨,panu,panu,paang 4 ,péng,ボウ,ふく-らむ、ふく-れる,S,,0,0,0,,,swell,肉,16
棚,,,,棚,"panu, ponu","panu, ponu",paang 4 ,péng,0,たな,S,1981,0,0,0,,,shelf,木,12
法,,,,法,papu,papu,faat 3 ,fǎ,ホウ、（ハッ）、（ホッ）,0,4,,법,법,M,,,method,水,8
乏,,,,乏,papu,papu,fat 6 ,fá,ボウ,とぼ-しい,S,,0,0,0,,,scarce,丿,4
八,,,,八,patu,patu,baat 3 ,"bā, bá",ハチ,や、や-つ、やっ-つ、（よう）,1,,팔,여덟,M,"bát, bắt",,eight,八,2
鉢,钵,,,鉢,patu,puatu,but 3 ,bō,ハチ、（ハツ）,0,S,1981,0,0,0,,,bowl,金,13
